Lines,Syntactic_type,Style_type,Meaning_type
01-02,[pb_adj_adj],[abrupt],[pro]
02-03,[],[],[]
03-04,[cc_cross_clause],[suave],[retro]
04-05,[pb_relword],[suave],[pro]
05-06,[],[],[]
06-07,[pb_noun_prep],[abrupt],[pro]
07-08,[ex_subj_verb],[suave],[pro]
08-09,[ex_subj_verb],[abrupt],[pro]
09-10,[],[],[]
10-11,[],[],[]
11-12,[],[],[]
12-13,[pb_verb_adv],[abrupt],[retro]
13-14,[ex_iobj_verb],[abrupt],[retro]
14-15,[ex_subj_verb],[suave],[retro]
15-16,[pb_relword],[abrupt],[pro]
16-17,[pb_noun_prep],[abrupt],[retro]
17-18,[],[suave],[pro]
18-19,[pb_noun_prep],[abrupt],[pro]
19-20,[ex_dobj_verb],[abrupt],[pro]
20-21,[],[],[]
21-22,[pb_relword],[suave],[pro]
22-23,[],[],[]
23-24,[ex_dobj_verb],[abrupt],[pro]
24-25,[],[abrupt],[retro]
25-26,[pb_verb_adv],[abrupt],[pro]
26-27,[pb_verb_chain],[suave],[pro]
27-28,[pb_relword],[suave],[pro]
28-29,[],[],[]
29-30,[],[],[]
30-31,[pb_relword],[abrupt],[pro]
31-32,[ex_dobj_verb],[suave],[pro]
32-33,[pb_relword],[suave],[pro]
33-34,[pb_noun_adj],[suave],[pro]
34-35,[pb_verb_chain],[abrupt],[pro]
35-36,[pb_verb_adv],[abrupt],[pro]
36-37,[],[],[]
37-38,[],[],[]
38-39,[pb_adj_prep],[abrupt],[pro]
