Lines,Syntactic_type,Style_type,Meaning_type
01-02,[],[suave],[retro]
02-03,[pb_noun_prep],[suave],[retro]
03-04,[],[],[]
04-05,[],[],[]
05-06,[],[],[]
06-07,[],[],[]
07-08,[],[],[]
08-09,[],[],[]
09-10,[],[],[]
10-11,[cc_cross_clause],[suave],[retro]
11-12,[pb_noun_prep],[abrupt],[retro]
12-13,[],[],[]
13-14,[],[],[]
14-15,[],[],[]
15-16,[],[],[]
16-17,[],[],[]
17-18,[],[],[]
18-19,[],[],[]
19-20,[],[],[]
20-21,[],[],[]
21-22,[],[],[]
22-23,[ex_subj_verb],[suave],[pro]
23-24,[cc_cross_clause],[suave],[retro]
