Lines,Syntactic_type,Style_type,Meaning_type
01-02,[],[],[]
02-03,[],[],[]
03-04,[ex_attr_verb],[suave],[pro]
04-05,[],[],[]
05-06,[pb_relword],[suave],[pro]
06-07,[],[],[]
07-08,[pb_adj_adj],[suave],[pro]
08-09,[],[],[]
09-10,[pb_relword],[suave],[pro]
10-11,[],[],[]
11-12,[pb_adj_adv],[suave],[pro]
12-13,[],[],[]
13-14,[pb_noun_prep],[suave],[retro]
14-15,[],[],[]
15-16,[],[],[]
16-17,[],[],[]
17-18,[pb_noun_adj],[suave],[pro]
18-19,[pb_noun_prep],[suave],[retro]
19-20,[],[],[]
20-21,[],[],[]
21-22,[],[],[]
22-23,[],[],[]
23-24,[ex_subj_verb],[suave],[pro]
24-25,[pb_noun_adj],[suave],[pro]
25-26,[cc_cross_clause],[suave],[retro]
26-27,[pb_relword],[suave],[pro]
27-28,[pb_noun_prep],[suave],[retro]
28-29,[pb_adj_adj],[suave],[retro]
29-30,[pb_verb_adv],[suave],[retro]
30-31,[],[],[]
31-32,[pb_phrasal_verb],[suave],[pro]
32-33,[],[],[]
33-34,[pb_relword],[suave],[pro]
34-35,[pb_relword],[suave],[pro]
35-36,[],[],[]
36-37,[pb_noun_adj],[suave],[pro]
37-38,[],[],[]
38-39,[pb_noun_adj],[suave],[pro]
39-40,[],[],[]
40-41,[pb_noun_prep],[suave],[retro]
41-42,[pb_noun_prep],[suave],[retro]
42-43,[pb_relword],[suave],[pro]
43-44,[],[],[]
44-45,[pb_noun_prep],[suave],[retro]
45-46,[pb_relword],[suave],[pro]
46-47,[],[],[]
47-48,[pb_relword],[suave],[pro]
48-49,[pb_noun_prep],[suave],[pro]
49-50,[pb_relword],[suave],[pro]
50-51,[pb_relword],[suave],[pro]
51-52,[pb_relword],[suave],[pro]
52-53,[pb_noun_adj],[suave],[pro]
53-54,[],[],[]
54-55,[ex_iobj_pverb],[suave],[retro]
55-56,[pb_relword],[suave],[pro]
56-57,[cc_cross_clause],[suave],[retro]
57-58,[pb_relword],[suave],[retro]
58-59,[],[],[]
59-60,[pb_noun_adj],[suave],[pro]
60-61,[],[],[]
61-62,[pb_noun_adj],[suave],[pro]
62-63,[],[],[]
63-64,[ex_subj_verb],[suave],[pro]
64-65,[pb_relword],[suave],[pro]
65-66,[],[],[]
66-67,[],[],[]
67-68,[],[],[]
68-69,[pb_noun_noun],[suave],[retro]
69-70,[],[],[]
70-71,[],[],[]
71-72,[],[],[]
72-73,[ex_subj_verb],[suave],[pro]
73-74,[ex_subj_verb],[suave],[pro]
74-75,[pb_relword],[suave],[pro]
75-76,[pb_noun_prep],[suave],[pro]
76-77,[],[],[]
77-78,[],[],[]
78-79,[],[],[]
79-80,[],[],[]
80-81,[ex_dobj_pverb],[suave],[pro]
81-82,[],[],[]
82-83,[ex_subj_verb],[suave],[pro]
83-84,[],[],[]
84-85,[],[],[]
85-86,[],[],[]
86-87,[],[],[]
87-88,[],[],[]
88-89,[],[],[]
89-90,[],[],[]
90-91,[ex_subj_verb],[suave],[pro]
91-92,[],[],[]
92-93,[],[],[]
93-94,[],[],[]
94-95,[],[],[]
95-96,[pb_verb_adv],[suave],[retro]
96-97,[pb_relword],[suave],[pro]
97-98,[pb_relword],[suave],[pro]
98-99,[],[],[]
