Lines,Syntactic_type,Style_type,Meaning_type
01-02,[pb_adj_adj],[abrupt],[pro]
02-03,[],[],[]
03-04,[cc_cross_clause],[suave],[retro]
04-05,[relword],[suave],[pro]
05-06,[],[],[]
06-07,[pb_noun_prep],[abrupt],[pro]
07-08,[ex_verb_subj],[suave],[pro]
08-09,[ex_verb_subj],[abrupt],[pro]
09-10,[],[],[]
10-11,[],[abrupt],[retro]
11-12,[],[abrupt],[relword]
12-13,[pb_verb_adv],[abrupt],[=retro]
13-14,[],[abrupt],[retro]
14-15,[ex_subj_verb],[suave],[pro]
15-16,[relword],[abrupt],[pro]
16-17,[],[abrupt],[~pro]
17-18,[],[suave],[]
18-19,[pb_noun_prep],[abrupt],[pro]
19-20,[ex_iobj_verb],[abrupt],[pro]
20-21,[],[],[]
21-22,[relword],[suave],[pro]
22-23,[],[],[]
23-24,[],[abrupt],[pro]
24-25,[],[abrupt],[retro]
25-26,[pb_verb_adv],[abrupt],[pro]
26-27,[pb_verb_chain],[suave],[pro]
27-28,[relword],[suave],[pro]
28-29,[],[],[]
29-30,[],[],[]
30-31,[relword],[abrupt],[pro]
31-32,[ex_verb_dobj],[suave],[pro]
32-33,[relword],[suave],[pro]
33-34,[pb_noun_noun],[suave],[pro]
34-35,[pb_verb_chain],[abrupt],[pro]
35-36,[pb_verb_adv],[abrupt],[pro]
36-37,[],[],[?retro]
37-38,[],[suave],[pro]
38-39,[],[abrupt],[pro]
