Lines,Syntactic_type,Style_type,Meaning_type
01-02,[],[],[]
02-03,[],[],[]
03-04,[],[],[]
04-05,[],[],[]
05-06,[],[],[]
06-07,[],[],[]
07-08,[],[suave],[pro]
08-09,[],[suave],[=retro]
09-10,[],[],[]
10-11,[],[],[]
11-12,[],[],[retro]
12-13,[cc_cross_clause],[suave],[retro]
13-14,[],[],[]
14-15,[],[],[]
15-16,[],[],[]
16-17,[],[suave],[retro]
17-18,[],[suave],[retro]
18-19,[],[suave],[retro]
19-20,[],[],[]
20-21,[],[],[]
21-22,[],[],[]
22-23,[],[suave],[pro]
23-24,[],[],[]
24-25,[],[],[]
25-26,[],[pb_noun_prep],[pro]
