Lines,Syntactic_type,Style_type,Meaning_type
01-02,[],[suave],[=retro]
02-03,[],[],[]
03-04,[pb_verb_adv],[suave],[pro]
04-05,[],[],[]
05-06,[],[],[]
06-07,[ex_dobj_verb],[suave],[pro]
07-08,[],[],[]
08-09,[],[suave],[=retro]
09-10,[],[],[]
10-11,[],[],[]
11-12,[],[],[]
12-13,[],[],[]
13-14,[],[],[]
14-15,[],[],[]
15-16,[ex_subj_verb],[suave],[pro]
16-17,[],[],[]
17-18,[ex_subj_verb],[abrupt],[pro]
18-19,[pb_verb_adv],[suave],[pro]
19-20,[],[suave],[=retro]
20-21,[],[],[]
21-22,[],[],[]
22-23,[],[],[]
23-24,[],[],[]
24-25,[],[suave],[=retro]
25-26,[],[],[]
26-27,[ex_verb_subj],[suave],[pro]
27-28,[],[],[]
28-29,[],[],[]
29-30,[relword],[abrupt],[=retro]
30-31,[],[],[]
31-32,[cc_cross_clause],[suave],[=retro]
32-33,[],[],[]
33-34,[ex_subj_verb],[suave],[pro]
34-35,[],[],[]
35-36,[],[],[]
36-37,[relword],[abrupt],[=retro]
37-38,[],[],[]
38-39,[],[],[]
39-40,[],[],[]
40-41,[],[],[]
41-42,[pb_noun_prep],[suave],[retro]
