Lines,Syntactic_type,Style_type,Meaning_type
01-02,[pb_noun_adj],[suave],[pro]
02-03,[],[suave],[pro]
03-04,[],[abrupt],[retro]
04-05,[ex_subj_verb],[suave],[pro]
05-06,[pb_noun_adj],[suave],[pro]
06-07,[pb_noun_prep],[suave],[pro]
07-08,[pb_noun_prep],[suave],[retro]
08-09,[],[],[]
09-10,[],[abrupt],[=retro]
10-11,[ex_subj_verb],[suave],[pro]
11-12,[],[],[]
12-13,[],[suave],[=retro]
13-14,[pb_noun_adj],[suave],[retro]
14-15,[pb_noun_adj],[abrupt],[pro]
15-16,[],[],[]
16-17,[pb_adj_adj],[abrupt],[pro]
17-18,[relword],[suave],[pro]
18-19,[],[],[]
19-20,[pb_noun_adj],[abrupt],[pro]
20-21,[],[],[]
