Lines,Syntactic_type,Style_type,Meaning_type
01-02,[relword],[suave],[pro]
02-03,[],[],[]
03-04,[],[],[]
04-05,[ex_subj_verb],[suave],[pro]
05-06,[],[suave],[=retro]
06-07,[],[],[]
07-08,[],[suave],[=retro]
08-09,[pb_adv_adv],[suave],[retro]
09-10,[],[],[]
10-11,[],[],[]
11-12,[pb_noun_prep],[suave],[pro]
12-13,[pb_adv_prep],[abrupt],[pro]
13-14,[],[suave],[retro]
14-15,[],[],[]
15-16,[],[],[]
16-17,[],[],[]
17-18,[],[],[]
18-19,[relword],[suave],[pro]
19-20,[],[],[]
20-21,[pb_adj_noun],[suave],[pro]
21-22,[],[],[]
22-23,[relword],[suave],[pro]
23-24,[],[],[]
24-25,[pb_adv_adv],[suave],[pro]
25-26,[],[],[]
26-27,[],[],[]
27-28,[],[],[]
28-29,[],[suave],[pro]
29-30,[],[],[]
30-31,[],[suave],[=retro]
31-32,[],[suave],[?=retro]
