Lines,Syntactic_type,Style_type,Meaning_type
01-02,[],[],[]
02-03,[],[],[]
03-04,[ex_subj_verb],[suave],[pro]
04-05,[?],[],[=retro]
05-06,[relword],[suave],[pro]
06-07,[],[],[]
07-08,[pb_adj_adj],[suave],[pro]
08-09,[],[],[]
09-10,[?],[suave],[pro]
10-11,[],[],[]
11-12,[pb_adv_adj],[suave],[pro]
12-13,[],[],[]
13-14,[?pb_noun_prep],[suave],[=retro]
14-15,[],[],[]
15-16,[],[],[]
16-17,[?cc_cross_clause],[suave],[=retro]
17-18,[pb_noun_adj],[suave],[pro]
18-19,[],[suave],[=retro]
19-20,[],[suave],[=retro]
20-21,[],[],[]
21-22,[],[suave],[=retro]
22-23,[],[],[]
23-24,[ex_subj_verb],[suave],[retro]
24-25,[pb_noun_adj],[suave],[=retro]
25-26,[],[],[]
26-27,[relword],[suave],[pro]
27-28,[pb_noun_prep],[],[pro]
28-29,[?relword],[suave],[=retro]
29-30,[pb_verb_adv],[suave],[pro]
30-31,[],[],[]
31-32,[pb_verb_adv],[suave],[pro]
32-33,[],[],[]
33-34,[relword],[abrupt],[pro]
34-35,[relword],[suave],[pro]
35-36,[],[],[]
36-37,[?relword],[suave],[pro]
37-38,[],[],[]
38-39,[pb_noun_adj],[suave],[pro]
39-40,[],[],[]
40-41,[],[suave],[=retro]
41-42,[],[abrupt],[retro]
42-43,[relword],[],[pro]
43-44,[],[],[]
44-45,[],[],[]
45-46,[?],[suave],[pro]
46-47,[],[],[]
47-48,[relword],[suave],[pro]
48-49,[relword],[suave],[retro]
49-50,[relword],[abrupt],[pro]
50-51,[relword],[abrupt],[pro]
51-52,[],[suave],[pro]
52-53,[pb_noun_adj],[suave],[pro]
53-54,[],[],[]
54-55,[ex_iobj_verb],[suave],[=retro]
55-56,[relword],[suave],[pro]
56-57,[cc_cross_clause],[suave],[=retro]
57-58,[relword],[suave],[pro]
58-59,[],[],[]
59-60,[pb_adj_noun],[suave],[pro]
60-61,[],[],[]
61-62,[pb_adj_noun],[suave],[pro]
62-63,[],[],[]
63-64,[ex_subj_verb],[suave],[pro]
65-66,[],[],[=retro]
66-67,[relword],[suave],[pro]
67-68,[pb_adj_adj],[suave],[pro]
68-69,[lx_lexical],[suave],[pro]
69-70,[],[],[]
70-71,[],[],[]
71-72,[],[],[=retro]
72-73,[ex_subj_verb],[suave],[pro]
73-74,[?],[],[pro]
74-75,[relword],[],[pro]
75-76,[?],[suave],[pro]
76-77,[],[],[]
77-78,[],[],[]
78-79,[],[],[]
79-80,[],[],[]
80-81,[?],[suave],[pro]
81-82,[],[],[]
82-83,[ex_subj_verb],[suave],[pro]
83-84,[],[],[]
84-85,[?],[],[pro]
85-86,[],[],[]
86-87,[],[],[pro]
87-88,[],[],[]
88-89,[?],[],[]
89-90,[relword],[],[]
90-91,[ex_subj_verb],[suave],[pro]
91-92,[],[],[]
92-93,[pb_adv_noun],[suave],[pro]
93-94,[?],[suave],[=retro]
94-95,[pb_verb_adv],[suave],[=retro]
95-96,[],[],[]
96-97,[relword],[suave],[pro]
97-98,[?],[suave],[pro]
98-99,[],[],[]
